词法分析成功全部词素为：
(索引项        名字        值      所在源文件行)
(BEGIN         ,KEYWORD   ,BEGIN     ,1)
(int           ,KEYWORD   ,int       ,2)
(ID            ,id1       ,          ,2)
(,             ,SPL_SYM   ,,         ,2)
(ID            ,id2       ,          ,2)
(;             ,SPL_SYM   ,;         ,2)
(float         ,KEYWORD   ,float     ,3)
(ID            ,id3       ,          ,3)
(,             ,SPL_SYM   ,,         ,3)
(ID            ,id4       ,          ,3)
(;             ,SPL_SYM   ,;         ,3)
(ID            ,id1       ,          ,4)
(=             ,ASS_SYM   ,=         ,4)
(NUM           ,NUM       ,20        ,4)
(/             ,OP        ,/         ,4)
((             ,BRA_SYM   ,(         ,4)
(-             ,OP        ,-         ,4)
(NUM           ,NUM       ,5         ,4)
(+             ,OP        ,+         ,4)
(-             ,OP        ,-         ,4)
(NUM           ,NUM       ,0.5       ,4)
()             ,BRA_SYM   ,)         ,4)
(*             ,OP        ,*         ,4)
(NUM           ,NUM       ,2         ,4)
(;             ,SPL_SYM   ,;         ,4)
(ID            ,id2       ,          ,5)
(=             ,ASS_SYM   ,=         ,5)
(ID            ,id3       ,          ,5)
(;             ,SPL_SYM   ,;         ,5)
(ID            ,id3       ,          ,6)
(=             ,ASS_SYM   ,=         ,6)
(NUM           ,NUM       ,0.0       ,6)
(;             ,SPL_SYM   ,;         ,6)
(while         ,KEYWORD   ,while     ,7)
((             ,BRA_SYM   ,(         ,7)
(ID            ,id2       ,          ,7)
(<             ,COMP_SYM  ,<         ,7)
(NUM           ,NUM       ,12        ,7)
()             ,BRA_SYM   ,)         ,7)
(ID            ,id1       ,          ,8)
(=             ,ASS_SYM   ,=         ,8)
(NUM           ,NUM       ,0         ,8)
(;             ,SPL_SYM   ,;         ,8)
(if            ,KEYWORD   ,if        ,9)
((             ,BRA_SYM   ,(         ,9)
(ID            ,id2       ,          ,9)
(==            ,COMP_SYM  ,==        ,9)
(NUM           ,NUM       ,3         ,9)
()             ,BRA_SYM   ,)         ,9)
